,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
835,84.0,90.0,103.0,103.0,93.0,95.0,100.0,93.0,68.0,60.0,83.0,130.0,170.0329,193.2005,238.88014,266.48267,328.52228,307.54462,312.86548,294.71973,293.92346,291.35693,292.76025,303.0419
836,90.0,103.0,103.0,93.0,95.0,100.0,93.0,68.0,60.0,83.0,130.0,145.0,146.73218,168.97537,210.49387,240.14215,294.3214,283.40143,310.10706,276.40546,283.195,288.7228,297.23322,315.1554
837,103.0,103.0,93.0,95.0,100.0,93.0,68.0,60.0,83.0,130.0,145.0,156.0,132.92926,153.3125,200.17975,216.53214,260.21704,255.3706,289.51663,256.175,268.32318,275.95148,284.9837,291.77234
838,103.0,93.0,95.0,100.0,93.0,68.0,60.0,83.0,130.0,145.0,156.0,135.0,123.201385,141.46158,179.81564,200.84729,241.11697,244.36485,275.24323,241.00203,257.62677,271.08795,272.69034,268.64392
839,93.0,95.0,100.0,93.0,68.0,60.0,83.0,130.0,145.0,156.0,135.0,126.0,114.37634,135.62708,171.69772,189.83408,233.0809,231.905,262.09958,227.5719,249.41818,257.2618,256.04657,246.94264
840,95.0,100.0,93.0,68.0,60.0,83.0,130.0,145.0,156.0,135.0,126.0,122.0,107.03497,126.98096,165.50674,185.57135,230.09834,219.54022,250.40707,221.75064,238.87943,240.92668,250.1441,227.8986
841,100.0,93.0,68.0,60.0,83.0,130.0,145.0,156.0,135.0,126.0,122.0,134.0,106.38501,121.860504,165.87192,184.63718,220.39825,213.32904,245.32716,220.20699,230.0253,232.47305,235.87918,210.3615
842,93.0,68.0,60.0,83.0,130.0,145.0,156.0,135.0,126.0,122.0,134.0,135.0,109.2861,123.139496,168.28516,184.90485,221.1052,209.37242,239.13817,212.4546,219.49338,215.51492,214.7466,192.21777
843,68.0,60.0,83.0,130.0,145.0,156.0,135.0,126.0,122.0,134.0,135.0,107.0,109.264465,118.384125,165.81754,184.13861,221.61623,206.0742,237.13943,204.94714,209.9421,205.07556,217.58276,187.00882
844,60.0,83.0,130.0,145.0,156.0,135.0,126.0,122.0,134.0,135.0,107.0,105.0,98.081635,108.02817,171.7847,181.00095,223.45126,201.99734,231.68893,191.49197,199.5455,198.27371,215.1144,192.19415
845,83.0,130.0,145.0,156.0,135.0,126.0,122.0,134.0,135.0,107.0,105.0,100.0,87.40204,120.06421,154.08734,172.71353,204.93823,197.37726,220.61418,176.22745,191.28305,188.63895,191.89618,170.341
846,130.0,145.0,156.0,135.0,126.0,122.0,134.0,135.0,107.0,105.0,100.0,94.0,95.43582,109.67828,166.72723,166.68585,195.87341,195.01813,211.65887,180.81287,186.9382,177.07498,176.69687,177.66876
847,145.0,156.0,135.0,126.0,122.0,134.0,135.0,107.0,105.0,100.0,94.0,84.0,118.86185,127.7923,172.42068,173.1702,197.42252,202.49844,219.28482,184.41953,188.29852,179.41937,195.23657,191.63242
848,156.0,135.0,126.0,122.0,134.0,135.0,107.0,105.0,100.0,94.0,84.0,86.0,132.18033,133.91876,165.5148,179.05157,209.75262,207.05132,223.3761,182.11786,187.17206,185.44998,204.88416,189.52328
849,135.0,126.0,122.0,134.0,135.0,107.0,105.0,100.0,94.0,84.0,86.0,87.0,136.73853,137.56476,169.82764,179.00217,211.43846,204.19724,217.3905,175.64133,186.13974,186.22513,190.42441,186.64246
850,126.0,122.0,134.0,135.0,107.0,105.0,100.0,94.0,84.0,86.0,87.0,99.0,128.65442,129.66641,161.37323,174.36563,208.71135,198.25455,209.51585,160.01251,184.98929,177.61124,179.34387,180.82224
851,122.0,134.0,135.0,107.0,105.0,100.0,94.0,84.0,86.0,87.0,99.0,84.0,120.949615,134.10626,152.58441,174.4938,204.60928,196.24371,216.02974,163.76639,183.06552,178.07431,184.49939,188.18094
852,134.0,135.0,107.0,105.0,100.0,94.0,84.0,86.0,87.0,99.0,84.0,97.0,114.85568,107.72803,147.07788,173.63657,188.13843,194.38187,221.31363,174.94244,178.1865,178.58072,200.75705,184.91693
853,135.0,107.0,105.0,100.0,94.0,84.0,86.0,87.0,99.0,84.0,97.0,207.0,111.831696,103.60925,146.4096,168.16647,183.3956,191.02304,218.6049,156.99582,174.79834,174.97012,183.99866,173.1817
854,107.0,105.0,100.0,94.0,84.0,86.0,87.0,99.0,84.0,97.0,207.0,105.0,110.25177,102.396484,141.95486,160.81998,177.90509,182.20807,209.53978,149.85953,170.11847,163.13834,180.78943,159.45859
855,105.0,100.0,94.0,84.0,86.0,87.0,99.0,84.0,97.0,207.0,105.0,77.0,96.59039,89.01352,129.91992,153.27826,168.77518,175.86823,204.46747,144.38919,164.986,156.75015,163.42813,168.73303
856,100.0,94.0,84.0,86.0,87.0,99.0,84.0,97.0,207.0,105.0,77.0,68.0,89.31647,82.53818,125.851776,147.79782,176.31577,174.05298,203.57452,140.0326,162.97617,169.07645,162.6088,154.61127
857,94.0,84.0,86.0,87.0,99.0,84.0,97.0,207.0,105.0,77.0,68.0,64.0,83.99005,77.6293,119.44632,141.67734,158.6279,170.51306,198.67303,134.7915,160.65192,153.80124,161.38406,152.82089
