,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6
673,122.0,110.0,116.0,97.0,83.0,67.0,178.21837,181.53796,145.23135,140.41312,211.39499,272.129
674,110.0,116.0,97.0,83.0,67.0,80.0,190.7336,192.57036,160.35016,152.28757,224.65906,282.66263
675,116.0,97.0,83.0,67.0,80.0,121.0,186.92596,188.37286,157.05075,151.61008,221.86273,281.5138
676,97.0,83.0,67.0,80.0,121.0,103.0,184.63943,185.83498,154.18764,145.38254,216.07983,278.91858
677,83.0,67.0,80.0,121.0,103.0,123.0,175.45006,175.62515,140.13264,130.16368,205.95947,268.1927
678,67.0,80.0,121.0,103.0,123.0,142.0,160.01796,155.79723,118.865906,108.542305,188.40271,250.71786
679,80.0,121.0,103.0,123.0,142.0,160.0,142.13765,136.4157,99.18226,86.915016,172.48882,232.82915
680,121.0,103.0,123.0,142.0,160.0,163.0,143.05365,134.50333,95.33307,81.02962,170.45897,226.38393
681,103.0,123.0,142.0,160.0,163.0,134.0,167.7183,157.55107,116.37071,98.38367,189.03966,240.91794
682,123.0,142.0,160.0,163.0,134.0,103.0,169.14088,157.0314,118.77392,106.16658,195.06073,251.13226
683,142.0,160.0,163.0,134.0,103.0,89.0,172.01132,163.16502,125.848915,112.59658,204.6642,259.70715
684,160.0,163.0,134.0,103.0,89.0,117.0,184.72075,177.58688,139.18199,127.40872,216.86328,271.79797
685,163.0,134.0,103.0,89.0,117.0,108.0,201.76979,190.19449,156.12762,140.9398,228.73538,287.31326
686,134.0,103.0,89.0,117.0,108.0,104.0,205.72331,196.09915,162.54572,146.297,238.07118,298.17685
687,103.0,89.0,117.0,108.0,104.0,115.0,189.869,177.85854,148.39284,138.72066,232.14012,298.23892
688,89.0,117.0,108.0,104.0,115.0,122.0,163.99141,152.36017,129.53777,120.94004,222.15707,286.0933
689,117.0,108.0,104.0,115.0,122.0,124.0,142.45993,132.18674,110.430824,104.808266,207.95087,265.13644
690,108.0,104.0,115.0,122.0,124.0,111.0,152.82274,141.5974,117.4512,106.136185,205.89157,255.11559
691,104.0,115.0,122.0,124.0,111.0,81.0,155.29552,139.8649,112.892075,99.485245,194.80244,240.47958
692,115.0,122.0,124.0,111.0,81.0,111.0,152.69601,132.0414,102.745926,86.352516,179.064,221.79358
693,122.0,124.0,111.0,81.0,111.0,100.0,153.76729,129.18005,93.26686,75.622154,163.40024,209.20177
694,124.0,111.0,81.0,111.0,100.0,90.0,160.79953,131.0806,91.44861,67.85763,155.96848,202.40558
695,111.0,81.0,111.0,100.0,90.0,109.0,163.91035,132.53233,87.2633,61.365807,151.38817,198.26292
696,81.0,111.0,100.0,90.0,109.0,99.0,148.81381,109.21818,66.59493,44.13831,137.06401,195.34453
697,111.0,100.0,90.0,109.0,99.0,185.0,113.077774,74.26207,38.256374,17.412527,125.93307,184.49371
698,100.0,90.0,109.0,99.0,185.0,164.0,114.590034,78.33194,42.451973,26.394495,139.08601,191.3226
699,90.0,109.0,99.0,185.0,164.0,146.0,122.6833,86.46056,60.753395,44.992332,157.61868,206.17633
700,109.0,99.0,185.0,164.0,146.0,182.0,112.998184,83.113914,61.97389,51.13973,163.62936,212.27043
701,99.0,185.0,164.0,146.0,182.0,163.0,120.41368,92.53135,71.78628,61.76016,170.91226,218.73099
702,185.0,164.0,146.0,182.0,163.0,144.0,118.16037,88.67963,68.0593,59.473442,162.68655,208.55457
703,164.0,146.0,182.0,163.0,144.0,125.0,174.31227,146.1325,114.83697,95.818535,188.30101,226.32695
704,146.0,182.0,163.0,144.0,125.0,109.0,192.66167,160.22205,123.10411,103.60253,184.32295,234.22685
705,182.0,163.0,144.0,125.0,109.0,129.0,175.09665,136.04958,98.003914,77.12965,162.60654,221.51746
706,163.0,144.0,125.0,109.0,129.0,166.0,176.0848,136.98978,90.117455,69.11854,160.99309,215.43932
707,144.0,125.0,109.0,129.0,166.0,129.0,172.70656,124.662476,81.159996,64.52099,155.33514,213.41267
708,125.0,109.0,129.0,166.0,129.0,122.0,161.27602,117.77058,77.78344,58.06191,156.6071,207.05772
709,109.0,129.0,166.0,129.0,122.0,98.0,141.19981,101.75037,62.93304,51.1356,146.52907,192.84369
710,129.0,166.0,129.0,122.0,98.0,86.0,129.72292,87.94637,58.190765,44.584675,138.97643,183.92657
711,166.0,129.0,122.0,98.0,86.0,78.0,137.79503,99.621735,66.18743,49.16294,145.59344,182.67761
712,129.0,122.0,98.0,86.0,78.0,74.0,171.40492,134.8823,95.62557,76.125916,163.97423,192.28009
713,122.0,98.0,86.0,78.0,74.0,65.0,161.33203,124.02224,85.104614,67.9311,145.4334,183.71732
714,98.0,86.0,78.0,74.0,65.0,47.0,146.71884,109.56551,69.391846,45.51038,129.39987,167.72874
715,86.0,78.0,74.0,65.0,47.0,40.0,128.0906,89.46207,44.328465,22.951782,106.173065,149.55835
716,78.0,74.0,65.0,47.0,40.0,40.0,114.759895,67.38462,27.082148,2.0,87.32302,134.85678
717,74.0,65.0,47.0,40.0,40.0,50.0,99.55975,61.499653,17.666037,2.0,83.93248,120.20319
718,65.0,47.0,40.0,40.0,50.0,46.0,97.62585,55.071346,12.966728,2.0,78.76202,131.91302
719,47.0,40.0,40.0,50.0,46.0,43.0,85.084015,44.618046,9.954379,2.0,91.19975,143.75876
720,40.0,40.0,50.0,46.0,43.0,39.0,69.582405,39.868973,2.2149677,2.0,99.71606,141.48175
721,40.0,50.0,46.0,43.0,39.0,47.0,68.843895,39.15964,16.020191,7.7131505,95.1951,136.73242
722,50.0,46.0,43.0,39.0,47.0,44.0,72.73447,56.754913,32.137886,15.49701,95.70059,135.11235
723,46.0,43.0,39.0,47.0,44.0,38.0,97.3822,77.43366,43.533875,24.444767,91.99534,145.03453
724,43.0,39.0,47.0,44.0,38.0,36.0,105.37856,82.42276,43.65233,16.951271,87.278,151.11185
725,39.0,47.0,44.0,38.0,36.0,45.0,99.12797,77.18973,33.811626,14.068647,86.99318,143.54036
726,47.0,44.0,38.0,36.0,45.0,51.0,92.51623,72.86492,31.351967,14.81308,80.57062,142.99922
727,44.0,38.0,36.0,45.0,51.0,65.0,92.68655,75.5317,35.333614,17.036333,85.81175,153.46304
728,38.0,36.0,45.0,51.0,65.0,82.0,90.88069,76.61248,35.544018,18.914518,93.86309,156.3509
729,36.0,45.0,51.0,65.0,82.0,85.0,87.82616,72.72182,35.145653,23.463463,93.13935,154.96257
730,45.0,51.0,65.0,82.0,85.0,80.0,85.519196,74.41452,43.594162,29.898228,95.535034,152.69507
731,51.0,65.0,82.0,85.0,80.0,74.0,98.078865,92.600876,58.320007,44.07658,102.9724,159.61206
732,65.0,82.0,85.0,80.0,74.0,66.0,112.10938,105.26216,67.080765,50.499836,105.81018,166.2568
733,82.0,85.0,80.0,74.0,66.0,74.0,121.47869,117.813416,74.78871,55.71532,112.33723,170.63885
734,85.0,80.0,74.0,66.0,74.0,74.0,137.78494,133.0626,87.690346,69.66757,124.33369,180.59343
735,80.0,74.0,66.0,74.0,74.0,70.0,144.05882,139.54619,97.34961,79.257545,133.4859,192.1298
736,74.0,66.0,74.0,74.0,70.0,62.0,139.0594,137.65689,98.66787,82.97981,139.2269,194.59413
737,66.0,74.0,74.0,70.0,62.0,52.0,129.99379,132.91351,96.81264,81.813545,136.44077,192.59727
738,74.0,74.0,70.0,62.0,52.0,39.0,118.14628,121.81812,87.3921,71.74137,128.3905,185.81038
739,74.0,70.0,62.0,52.0,39.0,36.0,118.55514,123.30335,86.18805,69.79193,128.49815,183.57965
740,70.0,62.0,52.0,39.0,36.0,27.0,124.67754,129.95535,93.55616,77.80807,134.23312,186.78844
741,62.0,52.0,39.0,36.0,27.0,18.0,120.43929,127.95013,93.81684,78.94353,133.89058,183.98572
742,52.0,39.0,36.0,27.0,18.0,18.0,110.607124,120.79696,88.41935,74.14512,125.79344,172.93022
743,39.0,36.0,27.0,18.0,18.0,18.0,97.29753,108.52309,78.41315,62.154366,107.64942,155.22937
744,36.0,27.0,18.0,18.0,18.0,112.0,80.68936,91.89765,61.353745,40.095127,81.704926,129.88148
745,27.0,18.0,18.0,18.0,112.0,139.0,76.29169,86.367615,52.100925,25.54388,62.61221,111.51387
746,18.0,18.0,18.0,112.0,139.0,177.0,64.22407,69.53747,35.20132,5.9347253,41.45468,96.84198
747,18.0,18.0,112.0,139.0,177.0,137.0,41.922157,44.951538,11.771314,2.0,23.569796,82.30518
748,18.0,112.0,139.0,177.0,137.0,128.0,27.68662,29.996986,2.0,2.0,15.203107,72.30351
749,112.0,139.0,177.0,137.0,128.0,116.0,22.68464,24.585514,2.0,2.0,12.982261,70.75215
750,139.0,177.0,137.0,128.0,116.0,106.0,174.16824,182.4457,144.16422,101.834404,135.67131,182.63887
751,177.0,137.0,128.0,116.0,106.0,108.0,249.91974,245.12373,213.38882,180.19043,215.19894,270.28793
752,137.0,128.0,116.0,106.0,108.0,122.0,273.80807,272.61215,248.45284,222.38878,272.7851,317.34534
753,128.0,116.0,106.0,108.0,122.0,127.0,212.59598,224.13037,217.12137,210.3028,257.62677,297.94858
754,116.0,106.0,108.0,122.0,127.0,127.0,189.24355,209.33023,216.89313,200.1954,235.06741,293.13986
755,106.0,108.0,122.0,127.0,127.0,148.0,186.05173,212.41377,210.82733,186.66562,228.54543,289.0344
756,108.0,122.0,127.0,127.0,148.0,195.0,188.42108,208.64052,200.75648,188.4536,229.67792,296.67004
757,122.0,127.0,127.0,148.0,195.0,204.0,180.7269,204.1097,205.49042,203.72491,256.60605,295.9199
758,127.0,127.0,148.0,195.0,204.0,212.0,192.27927,231.02582,236.85295,246.79944,284.93658,299.695
759,127.0,148.0,195.0,204.0,212.0,245.0,212.32568,256.86404,272.82657,272.00394,288.29364,271.34933
760,148.0,195.0,204.0,212.0,245.0,253.0,225.36128,275.35574,279.85498,261.49152,243.73544,228.4556
761,195.0,204.0,212.0,245.0,253.0,680.0,261.85184,286.0829,282.9828,228.82472,204.83284,181.38976
762,204.0,212.0,245.0,253.0,680.0,255.0,296.66867,303.98154,274.77286,208.28137,176.07356,177.68272
763,212.0,245.0,253.0,680.0,255.0,330.0,299.62042,277.87976,247.60367,174.88383,164.03032,169.74051
764,245.0,253.0,680.0,255.0,330.0,396.0,264.22977,250.03526,208.38858,153.5525,162.87187,170.7549
765,253.0,680.0,255.0,330.0,396.0,402.0,259.64093,238.34105,209.22528,157.62657,181.0013,212.07864
766,680.0,255.0,330.0,396.0,402.0,558.0,248.59497,238.29718,215.76874,171.47844,229.18024,268.4736
767,255.0,330.0,396.0,402.0,558.0,334.0,458.79312,430.98245,390.40247,344.41168,391.7207,426.5013
768,330.0,396.0,402.0,558.0,334.0,254.0,325.41812,316.20215,327.33487,324.04276,399.66736,398.86752
769,396.0,402.0,558.0,334.0,254.0,248.0,316.47302,341.79047,373.7831,382.4216,427.21198,398.1947
770,402.0,558.0,334.0,254.0,248.0,270.0,379.9109,423.93384,460.2112,428.5402,440.2376,446.35284
771,558.0,334.0,254.0,248.0,270.0,309.0,447.82687,500.85358,485.82648,433.07672,467.88647,475.8342
772,334.0,254.0,248.0,270.0,309.0,532.0,549.0482,561.01965,516.512,483.6947,503.25027,470.3774
773,254.0,248.0,270.0,309.0,532.0,305.0,464.76477,478.90796,476.57175,455.7141,449.44855,448.7636
774,248.0,270.0,309.0,532.0,305.0,287.0,367.8601,404.34244,421.6823,403.46484,413.4268,398.48068
775,270.0,309.0,532.0,305.0,287.0,338.0,342.2948,389.95853,397.25034,384.66312,383.696,377.4251
776,309.0,532.0,305.0,287.0,338.0,367.0,349.44733,378.40897,395.35522,369.6313,367.9446,358.26968
777,532.0,305.0,287.0,338.0,367.0,564.0,354.21207,397.568,393.25455,367.3867,370.50494,371.31458
778,305.0,287.0,338.0,367.0,564.0,381.0,478.54013,487.85675,469.2916,429.7074,440.95062,423.0235
